job_title,years_experience,education_level,location,company_size,industry,performance_rating,certifications,salary
Finance Analyst,0,High School,Seattle,Large,Technology,1.0537798178461988,4,30000
Marketing Manager,0,Master,Los Angeles,Startup,Manufacturing,4.121190341530012,2,90766
Business Analyst,10,Master,Chicago,Startup,Manufacturing,4.706864738527078,2,134407
Operations Manager,3,PhD,Denver,Startup,Healthcare,4.374078230832873,4,135934
Sales Representative,6,Bachelor,Boston,Medium,Manufacturing,1.1487380469330408,4,30000
Finance Analyst,2,High School,Chicago,Medium,Healthcare,3.098018758882316,1,62740
UX Designer,1,High School,New York,Startup,Retail,4.256108445210286,4,80752
Product Manager,2,High School,Austin,Medium,Retail,2.376457874314385,0,52804
Finance Analyst,7,High School,Remote,Startup,Technology,4.588149511666202,2,83255
Business Analyst,4,Bachelor,Atlanta,Large,Finance,4.5475187138845214,5,128514
Business Analyst,13,High School,Atlanta,Small,Finance,1.5668180831350154,2,33063
Operations Manager,5,PhD,Chicago,Startup,Manufacturing,2.974523080518816,0,87855
Sales Representative,4,PhD,Austin,Medium,Finance,1.102669930965197,2,34751
Marketing Manager,4,High School,Boston,Large,Retail,2.1274384311141077,4,57442
Operations Manager,14,High School,Chicago,Medium,Technology,4.247491352078967,2,107750
Operations Manager,7,Bachelor,New York,Medium,Retail,4.900562422719274,0,160585
Product Manager,0,Bachelor,San Francisco,Medium,Healthcare,4.6532930256307985,2,218717
HR Manager,3,High School,Chicago,Startup,Manufacturing,1.1703214792047962,5,30000
Sales Representative,5,Bachelor,Atlanta,Large,Manufacturing,4.706922100473601,5,115106
Data Scientist,6,Master,Seattle,Startup,Finance,4.290592707378162,5,178590
Operations Manager,1,High School,Atlanta,Small,Healthcare,4.470810067002939,5,85532
Project Manager,10,Bachelor,Austin,Startup,Finance,4.659307101142748,4,134770
HR Manager,15,PhD,New York,Small,Finance,2.9527196701891376,5,158884
Data Scientist,1,High School,Boston,Large,Finance,1.8448731750417413,5,55557
Project Manager,10,High School,Remote,Large,Healthcare,1.0840963474916676,1,40292
Sales Representative,0,PhD,Los Angeles,Startup,Finance,1.0941930828546003,5,30000
Software Engineer,0,PhD,Seattle,Startup,Manufacturing,3.5700456912962926,4,161424
Project Manager,0,Bachelor,Remote,Medium,Finance,2.349120357215518,5,61225
UX Designer,0,PhD,Chicago,Small,Healthcare,2.983586609318743,2,87194
